Name,Address,Rating,Total Reviews,Latitude,Longitude,Place ID,Image File
BUTT BIRYANI,"SHOP NUMBER/3 BLOCK/10 HUSSAIN BUKHAS ROAD KEAMARI KARACHI, Block 10 Gulshan-e-Iqbal, Karachi",3.5,2,24.9139164,67.1014435,ChIJawKqUac5sz4R0tQBX0M5Yco,restaurant_images/ChIJawKqUac5sz4R0tQBX0M5Yco.jpg
Ramada La Terrase Restaurant,"V5V4+X79, Faisal Cantonment, Karachi",4,124,24.8949172,67.1557344,ChIJNx9jHL05sz4RY4WmfpT8Vno,restaurant_images/ChIJNx9jHL05sz4RY4WmfpT8Vno.jpg
Yu Shi Restaurant,"V5V4+P7Q, Star Gate Road, Faisal Cantonment, Karachi",4.5,85,24.8943458,67.1557321,ChIJXfX6EL05sz4RcCKRNo9Yl7w,restaurant_images/ChIJXfX6EL05sz4RcCKRNo9Yl7w.jpg
Pool Side Bar B Q,"V5V4+MJX, Faisal Cantonment, Karachi",4.2,61,24.8942284,67.1566011,ChIJE6dPEb05sz4RV6ITlR0ag8s,restaurant_images/ChIJE6dPEb05sz4RV6ITlR0ag8s.jpg
OPTP - Gulistan-e-Johar,"B-181 Johar Chowrangi Road, Block 12 Gulistan-e-Johar, Karachi",4,1564,24.9198361,67.1341715,ChIJgyiwS_o4sz4R_pe304gqVCk,restaurant_images/ChIJgyiwS_o4sz4R_pe304gqVCk.jpg
Domino's Pizza - Jauhar Branch,"Shaes Residency, Block 3-A Block 3 A Gulistan-e-Johar, Karachi",4,1440,24.9226927,67.1362955,ChIJjyyv_fk4sz4RgEzC-o21pAk,restaurant_images/ChIJjyyv_fk4sz4RgEzC-o21pAk.jpg
Dunkin Donuts,"3A, Kings Trade Centre, Block 3 Abul Asar Hafeez Jalandhari Road, Block 3-A Gulistan-e-Johar, Karachi",4,2100,24.9215476,67.13501,ChIJi7InGvo4sz4RyaSqViheYr8,restaurant_images/ChIJi7InGvo4sz4RyaSqViheYr8.jpg
Aqua Vista Cafeteria,"Sports Complex, NAAS Academy, ASF Road, Gulistan-e-Johar, Karachi",4.5,2,24.9118081,67.1488232,ChIJP9Vj07g5sz4RAuHDnRUq2eE,restaurant_images/ChIJP9Vj07g5sz4RAuHDnRUq2eE.jpg
????? ??? ??? ????,"near HJ store, Street 09 main bazar, near HJ store, Bhitaiabad Block 9 Bhittaiabad, Karachi",5,5,24.9152401,67.14979,ChIJ1w7KtrQ5sz4RYihRcR9EDVY,restaurant_images/ChIJ1w7KtrQ5sz4RYihRcR9EDVY.jpg
Italian Pizza,"W48X+5VX, KB Road, Bhittai Abad Bhitaiabad Block 9 Bhittaiabad, Karachi",5,3,24.915515,67.1497594,ChIJG45RVQA5sz4RpdIISkE89y4,restaurant_images/ChIJG45RVQA5sz4RpdIISkE89y4.jpg
Marhaba Burger Point,"W48X+5VX, KB Road, Bhittai Abad Bhitaiabad Block 9 Bhittaiabad, Karachi",4.7,3,24.9155179,67.1497558,ChIJ6xk6DgA5sz4RIy0p8uPt2iM,restaurant_images/ChIJ6xk6DgA5sz4RIy0p8uPt2iM.jpg
New Quetta Bolan Hotel,"W48X+JXG, KB Road, Bhittai Abad Bhitaiabad Block 9 Bhittaiabad, Karachi",2.3,3,24.9165668,67.1499516,ChIJ40I9yX05sz4RF3tIKlyZsks,restaurant_images/ChIJ40I9yX05sz4RF3tIKlyZsks.jpg
Jamali Hotel ????? ????,"W582+PC9, Bhitaiabad Block 9 Bhittaiabad, Karachi",3.8,127,24.9167823,67.1511029,ChIJvePb-AI5sz4Rgh26r4VTrbk,restaurant_images/ChIJvePb-AI5sz4Rgh26r4VTrbk.jpg
Islamabad Hotel ?????? ???? ????,"Larkana Street, Karachi",3.8,100,24.9171181,67.1525211,ChIJ965T3PI3sz4RbXek6LuODIY,restaurant_images/ChIJ965T3PI3sz4RbXek6LuODIY.jpg
MashAllah fingers chips ( Irfan ki chips),"W48X+XX5, Bhittaiabad, Karachi",4,4,24.917399,67.1499754,ChIJa0XPFAA5sz4R4Kl_D1sSR9o,restaurant_images/ChIJa0XPFAA5sz4R4Kl_D1sSR9o.jpg
Faraz khan,"W592+35R, KB Road, Bhittai Abad Bhitaiabad Block 9 Bhittaiabad, Karachi",3.8,8,24.9177301,67.1503844,ChIJS4wvkOQ5sz4RLFteLgyD_68,restaurant_images/ChIJS4wvkOQ5sz4RLFteLgyD_68.jpg
Pappu pakwan hotel,"W592+4M2, Bhittaiabad, Karachi",,,24.9177725,67.1516412,ChIJAZlqPAA5sz4R3yrgRgG4qYQ,restaurant_images/ChIJAZlqPAA5sz4R3yrgRgG4qYQ.jpg
New Farhan Biryani & Pakwan Centre ??? ????? ?????? ? ????? ?????,"W592+55F, Unnamed Road, Bhittai Abad Bhitaiabad Block 9 Bhittaiabad, Karachi",4.1,20,24.9179444,67.1504112,ChIJP572R4Q5sz4RihA2YMOFNDs,restaurant_images/ChIJP572R4Q5sz4RihA2YMOFNDs.jpg
Matka Chaiy (Tea) ????? ????,"W592+JV8, Street 6, Bhittai Abad Bhitaiabad Block 9 Bhittaiabad, Karachi",4.3,164,24.9190341,67.1522101,ChIJt95w6qs5sz4R3srumGg0xdM,restaurant_images/ChIJt95w6qs5sz4R3srumGg0xdM.jpg
Gareeb Nawaz Hotel,"Street 6, Gulistan-e-Johar, Karachi",3.5,2,24.9190947,67.1520871,ChIJyVHbSoA5sz4R81kCzt1o08s,restaurant_images/ChIJyVHbSoA5sz4R81kCzt1o08s.jpg
Faisal Finger Fries,"W592+M9W, KB Road, Bhittai Abad Bhitaiabad Block 9 Bhittaiabad, Karachi",4.4,14,24.9192338,67.1509443,ChIJEQshQAE5sz4R6Hm5TLjvBF8,restaurant_images/ChIJEQshQAE5sz4R6Hm5TLjvBF8.jpg
KIYA BAAT HAI,"Plot 1, Block 9 Pia Housing Scheme Block 9 PIA Housing Scheme, Karachi",4.1,26,24.9180798,67.1455068,ChIJWUjDHQ05sz4Rc0I7EQWX6fQ,restaurant_images/ChIJWUjDHQ05sz4Rc0I7EQWX6fQ.jpg
Ghazi biryani & pakwan Center gulistan-e-jor block 9 Karachi,"9 Pehlwan Goth Road, Karachi",4.5,2,24.9138419,67.1418657,ChIJC_ssIgk5sz4Rd-kt58KVcEg,restaurant_images/ChIJC_ssIgk5sz4Rd-kt58KVcEg.jpg
Bismillah Bilal Hotel ??? ?????? ????? ????,"Bismillah Bilal hotel pahlwan goth, Block 9 Gulistan-e-Johar, Karachi",4.3,82,24.9124437,67.1413316,ChIJE_FsAgA5sz4Ri0Y1Lb8ETt8,restaurant_images/ChIJE_FsAgA5sz4Ri0Y1Lb8ETt8.jpg
Bismillah food center,"W46R+XG3, Bismillah Bilal hotel pahlwan goth, Block 9 Gulistan-e-Johar, Karachi",4.7,3,24.9123757,67.1413015,ChIJrfBLKAA5sz4RF6EPkiY_kYI,restaurant_images/ChIJrfBLKAA5sz4RF6EPkiY_kYI.jpg
Pizza Palette | Best Pizza in Johar,Karachi,4.5,86,24.9148125,67.1421875,ChIJ3bEKvCA5sz4RDIERMwjDwWY,restaurant_images/ChIJ3bEKvCA5sz4RDIERMwjDwWY.jpg
Al Noor Catering & Pakwan Center,"W48V+82W, Block 9 Pia Housing Scheme Block 9 PIA Housing Scheme, Karachi",,,24.915359,67.142405,ChIJAUTfJgA5sz4RnVosfcBSiQE,restaurant_images/ChIJAUTfJgA5sz4RnVosfcBSiQE.jpg
VIP Phali Pak ?? ??? ?? ???? ???,"opposite Bismillah Bilal hotel, Hi gulestne Johar pehlwan goath, opposite Bismillah Bilal hotel, Block 12 Block 12 Sindh balouch society, Karachi",5,14,24.9089578,67.1410383,ChIJ7ZZqQ7s5sz4RtaZmW9eUgag,restaurant_images/ChIJ7ZZqQ7s5sz4RtaZmW9eUgag.jpg
Quetta maddina hotel,"Madrasa Rd, Quetta",4.3,15,24.9159849,67.1426359,ChIJuWeZOuY5sz4RIw0tOsQDXuI,restaurant_images/ChIJuWeZOuY5sz4RIw0tOsQDXuI.jpg
Delicious pizza,"FLAT NO.B, 05 Pehlwan Goth Road, Block 12 Gulistan-e-Johar, Karachi",4.7,6,24.913453,67.1412582,ChIJQwd2Tgg5sz4RIU-Rx30270U,restaurant_images/ChIJQwd2Tgg5sz4RIU-Rx30270U.jpg
Al Raheem quality chicken,"W47R+8F8, Pehlwan Goth Road, Block 9 Block 12 Gulistan-e-Johar, Karachi",4.5,6,24.9132818,67.1411892,ChIJw4TDYv05sz4R_ubaVFUjsDU,restaurant_images/ChIJw4TDYv05sz4R_ubaVFUjsDU.jpg
Rana Chicken Shop,"W47R+6C4, Block 12 Gulistan-e-Johar, Karachi",4.4,5,24.9130167,67.1410681,ChIJARXR-v84sz4RNIO7ZBK43zw,restaurant_images/ChIJARXR-v84sz4RNIO7ZBK43zw.jpg
Quetta Ajwa Hotel,"W48V+H4G, Pia Housing Scheme Block 9 PIA Housing Scheme, Karachi",4.4,74,24.9164257,67.1428203,ChIJJ1vrNIw5sz4RbBhlcv2D4D4,restaurant_images/ChIJJ1vrNIw5sz4RbBhlcv2D4D4.jpg
Bhitai food Center,"W5C2+3W2, Street 2, Bhittai Abad Bhitaiabad Block 9 Bhittaiabad, Karachi",5,3,24.9201335,67.1522509,ChIJ_5K0Idg5sz4RO1hjv_CA2co,restaurant_images/ChIJ_5K0Idg5sz4RO1hjv_CA2co.jpg
VIP Food Center,"W48V+J5C, PIA Housing Scheme, Karachi",5,1,24.9165516,67.1428753,ChIJRcrhOwA5sz4RaGvwbdmflQw,restaurant_images/ChIJRcrhOwA5sz4RaGvwbdmflQw.jpg
Peshweri soop and yakni,"opposite of PIA, Karachi",4.6,31,24.9163177,67.1425352,ChIJ9xBBtXI5sz4ROm4ynbMzOEo,restaurant_images/ChIJ9xBBtXI5sz4ROm4ynbMzOEo.jpg
Super quality burger,"W46R+56C, Pehlwan Goth Road, Block 9 Block 12 Gulistan-e-Johar, Karachi",5,1,24.9104353,67.140529,ChIJ--_kuIU5sz4Rbq1EQjvw-uI,restaurant_images/ChIJ--_kuIU5sz4Rbq1EQjvw-uI.jpg
Quetta Khyber Hotel & Bar.B.Q Branch2,"11 Pehlwan Goth Road, Khyber Chowk Block 11 Gulistan-e-Johar, Karachi",4.7,3,24.9166359,67.142439,ChIJUfkiVQA5sz4RviPlXK9jpcU,restaurant_images/ChIJUfkiVQA5sz4RviPlXK9jpcU.jpg
"Al Haram Pakwan, Biryani & Pulao Centre","B- 193, Karachi",,,24.9165268,67.1421716,ChIJmQroydw5sz4Rl7tfQrZh0bQ,restaurant_images/ChIJmQroydw5sz4Rl7tfQrZh0bQ.jpg
Skygrill restuarant and cafe,"C-36 hill road, Block 12 Gulistan-e-Johar, Karachi",3.5,2,24.9151705,67.1412582,ChIJu-CSVAA5sz4REbkxnAltYOY,restaurant_images/ChIJu-CSVAA5sz4REbkxnAltYOY.jpg
Lee Broast Model Colony,"W53P+5GH, Main Liaquat Ali Khan Road, Model Colony Sheet 26 Model Colony, Karachi",3.7,3341,24.9029774,67.1862778,ChIJfcwnK9k5sz4RLXegBjVK6NY,restaurant_images/ChIJfcwnK9k5sz4RLXegBjVK6NY.jpg
Pizza Max - Airport,"Airport Road, Karachi",4.6,6337,24.9051761,67.1827195,ChIJrbmnMto5sz4R7JusNJR1s_s,restaurant_images/ChIJrbmnMto5sz4R7JusNJR1s_s.jpg
New King Broast,"Saudabad,Malir S1/136, Karachi",4,478,24.9011398,67.1946091,ChIJYUrPG2E3sz4RKIjgDwllfcQ,restaurant_images/ChIJYUrPG2E3sz4RKIjgDwllfcQ.jpg
California Pizza,"Service Lane, Sheet 27 Model Colony, Karachi",4,2804,24.9088214,67.1839408,ChIJUZ1bTtc5sz4R5HbdO0p4Nz8,restaurant_images/ChIJUZ1bTtc5sz4R5HbdO0p4Nz8.jpg
